category;product;price;set_price;night_price;night_set_price;pieces
Hampurilaiset;Whopper®;4.6;6.95;4.6;7.95;1
Hampurilaiset;Whopper® Cheese;5;7.35;;;1
Hampurilaiset;Double Whopper;5.6;7.95;5.6;8.95;1
Hampurilaiset;Double Whopper® Cheese;6;8.35;;;1
Hampurilaiset;Whopper® Junior;2.8;5.1;;;1
Hampurilaiset;Whopper® Junior with Cheese;3.2;5.5;;;1
Hampurilaiset;Steakhouse;5.05;7.45;5.05;8.45;1
Hampurilaiset;Double Steakhouse;6.05;8.45;6.05;9.45;1
Hampurilaiset;Hampurilainen;1;4.45;;;1
Hampurilaiset;Juustohampurilainen;1.4;4.8;;;1
Hampurilaiset;Tuplajuustohampurilainen;3.4;5.75;3.4;6.75;1
Hampurilaiset;Chicken Nugget Burger;2;;;;
Hampurilaiset;Long Chicken® ;4.6;6.95;;;1
Hampurilaiset;Long Chicken® with Cheese;5;7.35;;;1
Hampurilaiset;Chicken Tendercrisp®;5.4;7.75;5.4;8.75;1
Hampurilaiset;Chicken Tendercrisp® with Cheese;5.8;8.1;;;1
Hampurilaiset;Crispy Chicken;2.6;4.95;;;1
Hampurilaiset;Crispy Chicken with Cheese;3;5.35;;;1
Hampurilaiset;Little Grilled Chicken;2.6;4.95;;;1
Hampurilaiset;Breakfast Burger;3.6;;;;
Hampurilaiset;Fish King;4.4;6.75;;;1
Hampurilaiset;Veggie Burger;4.4;6.75;4.4;7.75;1
Hampurilaiset;King Box® -lastenateria;;4.1;;;1
Salaatit;Grilled Chicken -salaatti;6.95;;;;1
Salaatit;Crispy Chicken -salaatti;6.95;;;;1
King Snacks;Sipulirenkaat 6 kpl;2;6.3;;;6
King Snacks;Sipulirenkaat 9 kpl;2.8;6.95;2.8;;9
King Snacks;Chicken Nuggets 4 kpl;2;;;;4
King Snacks;Chicken Nuggets 6 kpl;3;6.3;;;6
King Snacks;Chicken Nuggets 9 kpl;4.1;6.95;;;9
King Snacks;Chili Cheese 4 kpl;1.7;6.3;;;4
King Snacks;Chili Cheese 6 kpl;2.2;6.95;2.2;;6
King Snacks;Ranskalaiset, pienet;1.75;;;;1
King Snacks;Ranskalaiset, normaali;2.35;;;;1
King Snacks;Ranskalaiset, isot;2.55;;2.55;;1
King Snacks;Snack Box (sis. 2 dippiä);8.30;;8.30;;1
King Snacks;Mix Box (sis. 2 dippiä);8.30;;8.30;;1
Juomat;Limu, pieni;1.55;;;;1
Juomat;Limu, normaali;2.35;;;;1
Juomat;Limu, iso;2.55;;2.55;;1
Juomat;Tropicana-appelsiinimehu;1.9;;1.9;;1
Juomat;Tropicana-omenamehu;1.9;;1.9;;1
Juomat;Lähdevesi;2.5;;2.5;;1
Juomat;Maito;1.2;;1.2;;1
Juomat;King-kahvi;1.6;;1.6;;1
Juomat;Kahvi;1.2;;1.2;;1
Juomat;Espresso;1.5;;1.5;;1
Juomat;Cappuccino;1.8;;1.8;;1
Juomat;Latte;2;;2;;1
Juomat;King-tee;1.6;;1.6;;1
Juomat;Tee;1.2;;1.2;;1
Jälkiruuat;Jäätelö;0.5;;;;1
Jälkiruuat;Sundae (mansikka, suklaa, kinuski);1.7;;;;1
Jälkiruuat;BK Fusion® (Oreo®, Kit Kat®, Strawberry Cheesecake);2.5;;;;1
Jälkiruuat;Mustikkamuffinssi;2;;2;;1
Jälkiruuat;Suklaamuffinssi;2;;2;;1
Jälkiruuat;Suklaadonitsi;1.5;;1.5;;1
Jälkiruuat;Minipannukakut 6 kpl + siirappi;2;;;;6
Jälkiruuat;Minipannukakut 9 kpl + siirappi;2.5;;;;9
Jälkiruuat;Suklaa-Hottie Brownie;2.2;;;;1
Jälkiruuat;Smoothie (mansikka, banaani, mango) (medium);3.2;;;;1
Jälkiruuat;Smoothie (mansikka, banaani, mango) (iso);3.5;;;;1
Jälkiruuat;Frappé (suklaa, kinuski) (medium);3.2;;;;1
Jälkiruuat;Frappé (suklaa, kinuski) (iso);3.5;;;;1
Jälkiruuat;Pirtelö (vanilja, mansikka, suklaa) (medium);2.5;;;;1
Jälkiruuat;Pirtelö (vanilja, mansikka, suklaa) (iso);2.9;;;;1
Ekstrat;Jogurttikastike;0.25;;;;1
Ekstrat;Balsamico-salaattikastike;0.25;;;;1
Ekstrat;Juustosiivu (1 kpl);0.4;;0.4;;1
Ekstrat;Juustosiivu (2 kpl);0.8;;0.8;;2
Ekstrat;Pihvi;1;;1;;1
Ekstrat;Pekoniviipaleet (4 siivua);0.5;;0.5;;4
Ekstrat;Iso ateria (isommat ranskalaiset ja juoma);1;;;;1
